SectionID,CourseName
178168,Algorithms, Agents and Artificial Intelligence Standard semester 1 2016 [178168] - Algorithms, Agents and Artificial Intelligence[CITS3001]
178169,Networks and Security Standard semester 1 2016 [178169] - Networks and Security[CITS3002]
178174,Software Requirements and Design Standard semester 1 2016 [178174] - Software Requirements and Design[CITS4401]
178176,Computer Vision Standard semester 1 2016 [178176] - Computer Vision[CITS4402]
178178,Computational Modelling Standard semester 1 2016 [178178] - Computational Modelling[CITS4403]
178180,Software Testing and Quality Assurance Standard semester 1 2016 [178180] - Software Testing and Quality Assurance[CITS5501]
178182,Applied Geomechanics Standard semester 1 2016 [178182] - Applied Geomechanics[CIVL4401]
178183,Legal Theory and Ethics Standard semester 2 2016 [178183] - Legal Theory and Ethics[LAWS4404]
178184,Structural Steel Standard semester 1 2016 [178184] - Structural Steel[CIVL4404]
178186,Transportation Engineering Standard semester 1 2016 [178186] - Transportation Engineering[CIVL5502]
178190,The Conduct, Ethics and Communication of Science Standard semester 1 2016 [178190] - The Conduct, Ethics and Communication of Science [SCIE4403]
178208,Introduction to Scientific Practices Standard semester 1 2016 [178208] - Introduction to Scientific Practices[SCOM1101]
178210,Science Writing Standard semester 1 2016 [178210] - Science Writing[SCOM2208]
178212,Science Communication Practicum Standard semester 1 2016 [178212] - Science Communication Practicum[SCOM3318]
178256,News Gathering: Technique and Timing Standard semester 1 2016 [178256] - News Gathering: Technique and Timing[COMM5607]
178282,Surgery - Full Year (CRAWLEY) - IMED6681/IMED6682 Surgery - Full Year (CRAWLEY), 2016 [178282]
178306,Plant Diversity and Conservation Standard semester 2 2016 [178306] - Plant Diversity and Conservation[PLNT2204]
178308,Australian Vegetation Standard semester 2 2016 [178308] - Australian Vegetation[PLNT3306]
178311,Introduction to Social Work Methods Standard semester 1 2016 [178311] - Introduction to Social Work Methods[SWSP5631]
178316,Site Manipulation Standard semester 1 2016 [178316] - Site Manipulation [LACH2030]
178317,The Contemporary International System Standard semester 2 2016 [178317] - The Contemporary International System[POLS1102]
178318,Crime and Society Standard semester 1 2016 [178318] - Crime and Society[LAWS1110]
178320,Evolution of Human Rights Standard semester 1 2016 [178320] - Evolution of Human Rights[LAWS2224]
178321,Psychology: Behaviour in Context Standard semester 2 2016 [178321] - Psychology: Behaviour in Context[PSYC1102]
178322,Law in Action Standard semester 1 2016 [178322] - Law in Action[LAWS2227]
178323,Antimicrobial Agents Standard semester 2 2016 [178323] - Antimicrobial Agents[MICR5833]
178325,Tropical, Travel and Remote Area Infectious Diseases Standard semester 2 2016 [178325] - Tropical, Travel and Remote Area Infectious Diseases[MICR5834]
178327,Vectors of Infectious Diseases and Vector Control Standard semester 2 2016 [178327] - Vectors of Infectious Diseases and Vector Control[MICR5835]
178328,Public and Environmental Health Microbiology Standard semester 2 2016 [178328] - Public and Environmental Health Microbiology[MICR5836]
178331,Applied Advanced Econometrics Standard semester 1 2016 [178331] - Applied Advanced Econometrics[ECON4413]
178332,Dissertation (Economics) Part 1 Standard semester 1 2016 [178332] - Dissertation (Economics) Part 1[ECON4486]
178335,Rock Mechanics Standard semester 2 2016 [178335] - Rock Mechanics[MINE4404]
178341,Underground Mining 2 Standard semester 2 2016 [178341] - Underground Mining 2[MINE5502]
178354,Ecological Processes Standard semester 2 2016 [178354] - Ecological Processes[ENVT3363]
178355,Introduction to Finance Standard semester 2 2016 [178355] - Introduction to Finance[FINA1221]
178359,Advanced Corporate Finance Standard semester 2 2016 [178359] - Advanced Corporate Finance[FINA4482]
178367,Genomics Standard semester 1 2016 [178367] - Genomics[GENE3370]
178368,Decision Tools for Natural Resource Management Standard semester 2 2016 [178368] - Decision Tools for Natural Resource Management[SCIE3367]
178369,Physical Fitness and Health Standard semester 2 2016 [178369] - Physical Fitness and Health[SSEH1103]
178371,Motor Learning and Control Standard semester 2 2016 [178371] - Motor Learning and Control[SSEH2240]
178373,Psychosocial Aspects of Sport, Exercise and Health Standard semester 2 2016 [178373] - Psychosocial Aspects of Sport, Exercise and Health[SSEH2270]
178375,Promoting Lifelong Physical Activity Standard semester 2 2016 [178375] - Promoting Lifelong Physical Activity[SSEH2290]
178377,Learning Effectively: Improving Your Learning and Teaching Standard semester 1 2016 [178377] - Learning Effectively: Improving Your Learning and Teaching [EDUC1102]
178379,Introduction to Employment Relations Standard semester 1 2016 [178379] - Introduction to Employment Relations[EMPL1101]
178380,Coaching Psychology Standard semester 2 2016 [178380] - Coaching Psychology[SSEH3376]
178381,Negotiation: Theory and Practice Standard semester 1 2016 [178381] - Negotiation: Theory and Practice [EMPL3270]
178382,Motor Development and Dysfunction Standard semester 2 2016 [178382] - Motor Development and Dysfunction[SSEH3385]
178383,Globalisation and Work Standard semester 1 2016 [178383] - Globalisation and Work[EMPL3301]
178384,Financial Accounting Standard semester 2 2016 [178384] - Financial Accounting[ACCT1101]
178389,Buyer Behaviour and Decision Making Standard semester 2 2016 [178389] - Buyer Behaviour and Decision Making[MKTG5406]
178391,Marketing Analysis and Planning Standard semester 2 2016 [178391] - Marketing Analysis and Planning[MKTG5408]
178394,Global Marketing Strategy Standard semester 2 2016 [178394] - Global Marketing Strategy[MKTG5462]
178404,French Studies 1 Standard semester 2 2016 [178404] - French Studies 1[FREN1401]
178406,French Studies 2 Standard semester 2 2016 [178406] - French Studies 2[FREN1402]
178408,French Studies 4 Standard semester 2 2016 [178408] - French Studies 4[FREN1404]
178412,French Studies 4 Standard semester 2 2016 [178412] - French Studies 4[FREN2404]
178415,Physiology of Human Body Systems Standard semester 1 2016 [178415] - Physiology of Human Body Systems[PHYL2001]
178421,Specialist French Studies 14 Standard semester 2 2016 [178421] - Specialist French Studies 14[FREN3814]
178423,Corporate Accounting Standard semester 2 2016 [178423] - Corporate Accounting[ACCT2201]
178425,Financial Statement Analysis Standard semester 2 2016 [178425] - Financial Statement Analysis[ACCT3302]
178427,Auditing Standard semester 2 2016 [178427] - Auditing[ACCT3322]
178430,Human Biology II: Being Human Standard semester 2 2016 [178430] - Human Biology II: Being Human[ANHB1102]
178431,Business Process Management Standard semester 1 2016 [178431] - Business Process Management[INMT5504]
178434,Human Reproductive Biology Standard semester 2 2016 [178434] - Human Reproductive Biology[ANHB2216]
178435,Material Behaviour from Atoms to Bridges Standard semester 1 2016 [178435] - Material Behaviour from Atoms to Bridges[ENSC1002]
178436,Human Reproduction Standard semester 2 2016 [178436] - Human Reproduction[ANHB3316]
178437,Motion Standard semester 1 2016 [178437] - Motion[ENSC2001]
178438,Clean, Green and Ethical Animal Production Standard semester 2 2016 [178438] - Clean, Green and Ethical Animal Production[ANIM3306]
178439,Energy Standard semester 1 2016 [178439] - Energy [ENSC2002]
178442,Chemistry - Properties and Energetics Standard semester 2 2016 [178442] - Chemistry - Properties and Energetics [CHEM1001]
178443,Management Accounting Standard semester 1 2016 [178443] - Management Accounting[ACCT2112]
178444,Chemistry - Structure and Reactivity Standard semester 2 2016 [178444] - Chemistry - Structure and Reactivity[CHEM1002]
178445,Taxation Standard semester 1 2016 [178445] - Taxation[ACCT2331]
178447,Introduction to Geology Standard semester 2 2016 [178447] - Introduction to Geology [EART1104]
178448,Advanced Accounting Research Standard semester 1 2016 [178448] - Advanced Accounting Research[ACCT4471]
178476,Feminist Thought Standard semester 1 2016 [178476] - Feminist Thought[GEND3901]
178478,Extractive Metallurgy Standard semester 1 2016 [178478] - Extractive Metallurgy[GENG4403]
178480,Advanced Engineering Mathematics Standard semester 1 2016 [178480] - Advanced Engineering Mathematics[GENG4407]
178481,Advanced Neuroscience 1 Standard semester 2 2016 [178481] - Advanced Neuroscience 1[NEUR3301]
178484,Coastal and Offshore Engineering Standard semester 1 2016 [178484] - Coastal and Offshore Engineering[GENG5501]
178485,Modern Control Systems Standard semester 1 2016 [178485] - Modern Control Systems[GENG5503]
178486,Project Management and Engineering Practice Standard semester 1 2016 [178486] - Project Management and Engineering Practice[GENG5505]
178491,Finite Element Methods Standard semester 1 2016 [178491] - Finite Element Methods[GENG5514]
178498,German Studies 2 Standard semester 2 2016 [178498] - German Studies 2[GRMN1402]
178500,German Studies 4 Standard semester 2 2016 [178500] - German Studies 4[GRMN1404]
178503,German Studies 6 Standard semester 2 2016 [178503] - German Studies 6[GRMN1406]
178512,German Studies 12 Standard semester 2 2016 [178512] - German Studies 12 [GRMN2812]
178517,Earth Processes Standard semester 2 2016 [178517] - Earth Processes [EART2234]
178532,Organisational Learning and Innovation Standard semester 2 2016 [178532] - Organisational Learning and Innovation[MGMT2311]
178534,Applied International Business Strategy Standard semester 2 2016 [178534] - Applied International Business Strategy[MGMT3304]
178537,Supply Chain Management Standard semester 2 2016 [178537] - Supply Chain Management[MGMT3308]
178538,Historiography Standard semester 1 2016 [178538] - Historiography[HIST4101]
178543,Introduction to Human Resource Management Standard semester 1 2016 [178543] - Introduction to Human Resource Management[HRMT5504]
178544,Strategic Human Resource Management Standard semester 1 2016 [178544] - Strategic Human Resource Management[HRMT5518]
178546,English Language and Academic Communication I Standard semester 1 2016 [178546] - English Language and Academic Communication I[HUMA1901]
178548,English Language and Academic Communication II Standard semester 1 2016 [178548] - English Language and Academic Communication II[HUMA1902]
178552,Introduction to Infectious Diseases and Immunology Standard semester 2 2016 [178552] - Introduction to Infectious Diseases and Immunology[MICR2209]
178569,Human Structure and Athletic Performance Standard semester 2 2016 [178569] - Human Movement 2[SSEH1102]
178582,Paediatric Exercise Rehabilitation Standard semester 2 2016 [178582] - Paediatric Exercise Rehabilitation[SSEH5667]
178588,Advanced Breeding and Biotechnology in Action 1 Standard semester 1 2016 [178588] - Advanced Breeding and Biotechnology in Action 1[AGRI5501]
178590,Aboriginal Health and Wellbeing Standard semester 1 2016 [178590] - Aboriginal Health and Wellbeing [AHEA2201]
178594,Human Biology: Applications & Investigations I Standard semester 1 2016 [178594] - Human Biology: Applications & Investigations I[ANHB3310]
178596,Biological Anthropology: Genes and Society Standard semester 1 2016 [178596] - Biological Anthropology: Genes and Society[ANHB3321]
178598,Bacteria and Bacterial Disease Standard semester 1 2016 [178598] - Bacteria and Bacterial Disease[MICR3330]
178599,Management of Information Systems Standard semester 2 2016 [178599] - Management of Information Systems[INMT5620]
178600,Marketing Management Standard semester 1 2016 [178600] - Marketing Management[MKTG1203]
178603,Marketing Research Standard semester 1 2016 [178603] - Marketing Research[MKTG2305]
178608,Japanese 6 Standard semester 2 2016 [178608] - Japanese 6[JAPN1406]
178610,Japanese 8 Standard semester 2 2016 [178610] - Japanese 8[JAPN2408]
178612,Korean 4 Standard semester 2 2016 [178612] - Korean 4[KORE2402]
178613,Communication Skills in Music Standard semester 1 2016 [178613] - Communication Skills in Music[MUSC1310]
178615,Music Language 1 Standard semester 1 2016 [178615] - Music Language 1[MUSC1321]
178617,Statistical Science Standard semester 2 2016 [178617] - Statistical Science[STAT3062]
178620,Music Ensemble 1 Standard semester 1 2016 [178620] - Music Ensemble 1[MUSC1981]
178621,Statistical Significance Standard semester 2 2016 [178621] - Statistical Significance[STAT3404]
178622,Music Ensemble 2 Standard semester 1 2016 [178622] - Music Ensemble 2[MUSC1982]
178624,Western Art Music 1 (Renaissance and Baroque) Standard semester 1 2016 [178624] - Western Art Music 1 (Renaissance and Baroque)[MUSC2331]
178626,Music Language 3 Standard semester 1 2016 [178626] - Music Language 3[MUSC2520]
178631,Music Ensemble 3 CRAWLEY SEM-1 2016 [178631] - Music Ensemble 3[MUSC2981]
178633,Music Ensemble 4 CRAWLEY SEM-1 2016 [178633] - Music Ensemble 4[MUSC2982]
178634,Policy and Community Standard semester 2 2016 [178634] - Policy and Community[SWSP5406]
178636,Indonesian 2 Standard semester 2 2016 [178636] - Indonesian 2[INDO1402]
178644,Historical Linguistics: Language History and Language Change Standard semester 1 2016 [178644] - Historical Linguistics: Language History and Language Change[LING3003]
178646,Animal Populations Standard semester 1 2016 [178646] - Animal Populations[ANIM3361]
178648,Evolutionary Processes Standard semester 1 2016 [178648] - Evolutionary Processes[ANIM3362]
178649,Italian Studies 1 Standard semester 2 2016 [178649] - Italian Studies 1[ITAL1401]
178651,Being Human: Culture, Identity and Society Standard semester 1 2016 [178651] - Being Human: Culture, Identity and Society[ANTH1001]
178654,Italian Studies 2 Standard semester 2 2016 [178654] - Italian Studies 2[ITAL1402]
178663,Music Education in Research and Practice Standard semester 1 2016 [178663] - Music Education in Research and Practice[MUSC3560]
178665,Medical Genetics Standard semester 1 2016 [178665] - Medical Genetics[PATH3305]
178667,Drugs and Disease A Standard semester 1 2016 [178667] - Drugs and Disease A[PHAR3303]
178669,Molecular Pharmacology Standard semester 1 2016 [178669] - Molecular Pharmacology[PHAR3310]
178675,Law, Conflict and Change Standard semester 2 2016 [178675] - Legal Systems[LAWS1111]
178677,Taxation Law Standard semester 2 2016 [178677] - Taxation Law[LAWS2206]
178682,Remedies Standard semester 2 2016 [178682] - Remedies[LAWS5105]
178683,Research in Linguistics Standard semester 1 2016 [178683] - Research in Linguistics[LING4101]
178684,Legal Theory and Ethics Standard semester 2 2016 [178684] - Legal Theory and Ethics[LAWS5106]
178685,Language Description and Documentation Standard semester 1 2016 [178685] - Language Description and Documentation[LING4102]
178686,Commercial and Company Law Standard semester 2 2016 [178686] - Commercial and Company Law[LAWS5508]
178691,Italian Studies 4 Standard semester 2 2016 [178691] - Italian Studies 4[ITAL1404]
178693,Italian Studies 6 Standard semester 2 2016 [178693] - Italian Studies 6[ITAL1406]
178694,Drawing History Standard semester 1 2016 [178694] - Drawing History [ARCT1010]
178697,Materials and Small Constructions Standard semester 1 2016 [178697] - Materials and Small Constructions [ARCT2030]
178699,History and Theories of the Built Environment Standard semester 1 2016 [178699] - History and Theories of the Built Environment[ARCT3010]
